#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
0276-51909-0073 105612.32-000621.66 032 18.066 0.023 17.522 0.019 17.725 0.019 17.909 0.016 18.105 0.034 0.034 581.6 252.7 051.2 DA        011167 00038 7.891 0.030   32    6 029 00004 00149 00116 0.546 0.015 011078 7.746  -89 -0.145 0.49279 0.00956
0276-51909-0097 105405.75-011132.96 010 19.725 0.024 19.426 0.020 19.426 0.020 19.618 0.024 19.907 0.085 0.038 000.0 253.3 050.0 DA        011621 00162 7.453 0.137    0    0 000 00000 00000 00000 0.000 0.000 011547 7.413  -74 -0.040 0.36752 0.02974
0276-51909-0593 105727.81+002118.70 018 19.093 0.021 18.676 0.018 18.788 0.014 18.886 0.020 19.124 0.058 0.038 335.6 252.6 051.7 DA        010731 00052 8.535 0.052   52   13 016 00149 00145 00114 0.927 0.032 010615 8.287 -116 -0.248 0.77429 0.02439
0277-51908-0025 110636.72-001122.37 015 18.638 0.015 18.320 0.024 18.569 0.014 18.831 0.017 19.074 0.043 0.040 087.1 255.9 052.8 DA        014717 00307 7.671 0.067   17   17 013 00372 00305 00243 0.475 0.025 014717 7.671    0  0.000 0.47527 0.01757
0277-51908-0066 110420.04-003628.21 016 18.831 0.020 18.390 0.013 18.682 0.018 18.853 0.017 19.062 0.043 0.033 046.9 255.7 052.2 DA        012528 00160 8.179 0.060   41   16 014 00450 00203 00160 0.707 0.035 012613 8.106   85 -0.073 0.66488 0.02404
0277-51908-0414 110015.66+010740.55 011 19.262 0.023 18.872 0.020 19.097 0.015 19.366 0.019 19.640 0.082 0.029 056.2 252.5 052.8 DA        014348 00302 7.611 0.073    0   23 010 00013 00407 00324 0.452 0.027 014404 7.612   56  0.001 0.45284 0.01892
0277-51908-0513 110326.71+003725.80 023 18.135 0.020 17.690 0.018 17.759 0.013 17.906 0.016 18.071 0.024 0.030 050.3 254.1 052.9 DA        010636 00040 8.229 0.046   -8    9 021 00039 00115 00091 0.731 0.030 010527 7.981 -109 -0.248 0.59129 0.01728
0277-51908-0596 110515.32+001626.13 049 15.535 0.018 15.194 0.010 15.394 0.017 15.626 0.013 15.871 0.022 0.038 208.5 255.0 053.0 DA        013080 00049 8.275 0.011   15    3 048 00000 00045 00036 0.771 0.007 013180 8.235  100 -0.040 0.74002 0.00577
0278-51900-0367 110623.40+011520.95 017 18.778 0.026 18.336 0.014 18.504 0.013 18.665 0.018 18.864 0.041 0.043 041.0 254.3 053.9 DA        010952 00066 7.943 0.063    4   13 015 00274 00197 00159 0.573 0.033 010848 7.759 -104 -0.184 0.49790 0.01833
0278-51900-0593 111230.14+003002.55 019 18.674 0.020 18.262 0.021 18.319 0.015 18.396 0.020 18.554 0.027 0.039 054.6 257.1 054.3 DA        009629 00038 8.159 0.062   51   10 017 00122 00133 00108 0.690 0.035 009556 7.894  -73 -0.265 0.54301 0.01928
0279-51984-0308 111028.70-003343.46 014 19.028 0.022 18.586 0.018 18.646 0.019 18.718 0.021 18.888 0.043 0.033 069.1 257.6 053.2 DA        009478 00048 8.299 0.091    6   14 013 00063 00137 00109 0.779 0.059 009416 8.033  -62 -0.266 0.61710 0.03553
0279-51984-0321 111047.52+005421.35 026 17.864 0.019 17.480 0.016 17.463 0.014 17.515 0.015 17.664 0.019 0.031 212.3 256.1 054.4 DA        008651 00026 8.127 0.052   33    6 025 00182 00079 00064 0.669 0.031 008628 7.877  -23 -0.250 0.53219 0.01434
0281-51614-0476 112712.17+001644.29 007 20.111 0.033 19.730 0.022 19.905 0.021 20.102 0.029 20.377 0.131 0.029 036.6 262.5 056.4 DA        012152 00269 8.116 0.119   54   33 007 00092 00370 00308 0.670 0.067 012200 8.026   48 -0.090 0.61951 0.04541
0282-51658-0304 113036.48-002155.76 007 19.572 0.033 19.556 0.017 19.691 0.019 19.847 0.032 20.077 0.089 0.021 039.9 264.4 056.3 DAZ       005295 00201 6.765 0.537    0    0 000 00000 00000 00000 0.000 0.000 005294 6.761   -1 -0.004 0.18157 0.05746
0282-51658-0537 113614.89+005106.92 011 19.598 0.047 19.126 0.024 19.218 0.018 19.263 0.020 19.464 0.058 0.020 032.4 265.3 058.1 DA        009470 00062 8.564 0.095   47   19 010 00031 00144 00123 0.944 0.055 009409 8.299  -61 -0.265 0.77928 0.04347
