#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
1993-53762-0445 133255.96+360250.19 016 18.784 0.025 18.396 0.017 18.399 0.023 18.543 0.021 18.675 0.029 0.009 044.5 080.8 077.5 DA        009711 00044 8.240 0.067   -8   12 015 00053 00136 00133 0.737 0.043 009634 7.976  -77 -0.264 0.58640 0.02548
1994-53845-0048 125833.90+311753.49 013 18.903 0.029 18.508 0.023 18.719 0.016 18.882 0.024 19.217 0.056 0.013 042.3 102.9 085.5 DA        011981 00132 8.053 0.075   80   19 011 00407 00225 00224 0.634 0.041 012008 7.961   27 -0.092 0.58433 0.02766
1994-53845-0067 125709.63+304317.32 006 19.758 0.039 19.530 0.024 19.545 0.029 19.727 0.034 19.787 0.105 0.013 032.8 104.1 086.2 DAH:      011548 00265 8.796 0.143   95   42 006 01010 00184 00183 1.066 0.072 011443 8.616 -105 -0.180 0.97773 0.05604
1994-53845-0138 125653.70+312010.13 033 17.487 0.017 17.088 0.019 17.245 0.019 17.393 0.014 17.586 0.028 0.014 034.3 107.5 085.6 DA        010852 00032 8.141 0.029   75    6 030 00226 00098 00097 0.681 0.017 010748 7.925 -104 -0.216 0.56238 0.01068
1994-53845-0143 125347.48+313356.82 007 19.687 0.035 19.378 0.018 19.684 0.022 19.964 0.034 19.925 0.117 0.018 020.2 116.5 085.5 DA        012777 00920 7.395 0.134   73   35 006 02337 00546 00544 0.368 0.036 012871 7.394   94 -0.001 0.36829 0.02536
1994-53845-0364 125100.58+321828.05 010 19.343 0.031 19.001 0.033 18.975 0.018 19.071 0.021 19.174 0.067 0.015 180.5 123.9 084.8 DA        009172 00083 8.300 0.124   22   18 010 00044 00153 00153 0.780 0.078 009128 8.029  -44 -0.271 0.61428 0.04865
1994-53845-0406 125226.60+321053.18 011 19.260 0.023 19.210 0.015 19.210 0.015 19.409 0.020 19.636 0.068 0.013 000.0 120.5 084.9 DA        012707 00211 8.604 0.068    0    0 000 00000 00000 00000 0.000 0.000 012755 8.494   48 -0.110 0.90329 0.02980
1994-53845-0551 125752.95+323228.34 011 19.321 0.028 19.055 0.021 19.312 0.018 19.585 0.023 19.808 0.090 0.012 012.8 108.8 084.4 DA        016412 00284 8.061 0.059   46   25 010 01033 00381 00379 0.647 0.031 016412 8.061    0  0.000 0.64695 0.02215
1994-53845-0561 125854.90+320428.65 009 19.929 0.038 19.358 0.024 19.157 0.017 19.132 0.017 19.069 0.043 0.012 028.2 105.2 084.8 DA        006432 00094 6.780 0.192  -13   13 009 00510 00272 00271 0.194 0.023 006431 6.656   -1 -0.124 0.18095 0.01159
1994-53845-0593 125830.93+321106.00 009 19.642 0.037 19.241 0.021 19.257 0.019 19.382 0.021 19.514 0.084 0.012 065.5 106.5 084.7 DA        009481 00075 8.338 0.119   -6   22 009 00020 00179 00178 0.802 0.078 009419 8.072  -62 -0.266 0.63897 0.04748
1994-53845-0609 130103.18+314515.58 005 20.341 0.049 19.849 0.031 19.995 0.028 20.178 0.039 20.366 0.165 0.010 068.8 099.2 084.9 DA        012267 00969 6.789 0.255 -390   42 005 01064 01065 01061 0.227 0.041 012170 6.790  -97  0.001 0.22662 0.02875
1996-53436-0211 112520.19+385309.74 009 19.489 0.033 19.096 0.023 19.055 0.030 19.319 0.023 19.449 0.065 0.017 059.3 174.3 068.5 DA        010441 00088 7.989 0.132   29   24 008 00015 00248 00231 0.595 0.071 010325 7.730 -116 -0.259 0.48268 0.03578
1996-53436-0409 112555.60+402131.57 007 19.680 0.035 19.342 0.023 19.647 0.020 19.888 0.030 20.152 0.097 0.014 011.7 170.6 067.9 DA        016275 00488 7.893 0.101   41   36 007 01014 00490 00454 0.560 0.043 016275 7.893    0  0.000 0.56022 0.03110
1996-53436-0470 112429.56+401303.66 007 19.780 0.053 19.600 0.024 19.792 0.034 19.809 0.031 19.338 0.061 0.017 015.1 171.3 067.8 DA+M      010436 00124 8.306 0.147   33   34 006 00357 00247 00228 0.784 0.092 010327 8.040 -109 -0.266 0.62299 0.05758
1997-53442-0002 114757.65+370118.47 007 19.804 0.035 19.261 0.021 19.039 0.019 19.017 0.019 19.085 0.048 0.017 100.9 172.5 073.3 DA        007241 00108 7.702 0.308  -20   19 007 00087 00163 00156 0.459 0.130 007239 7.598   -2 -0.104 0.41322 0.08343
1997-53442-0127 114448.47+365011.11 005 19.998 0.049 19.654 0.020 19.608 0.023 19.644 0.027 19.727 0.080 0.016 036.5 174.2 072.9 DA        007946 00123 6.875 0.142   -4   30 005 00487 00454 00434 0.219 0.024 007935 6.632  -11 -0.243 0.18119 0.01080
1997-53442-0289 113831.00+372405.72 006 19.604 0.031 19.410 0.015 19.714 0.020 20.032 0.028 19.990 0.098 0.017 014.5 174.6 071.5 DA        017834 00771 7.687 0.143   87   44 005 00649 00625 00593 0.493 0.044 017834 7.687    0  0.000 0.49331 0.03123
1998-53433-0021 104755.08+373632.86 006 20.436 0.044 19.518 0.020 19.085 0.013 18.934 0.016 18.899 0.038 0.013 057.4 183.1 062.1 DA        005665 00099 8.405 0.236  -43   64 006 00708 00068 00060 0.838 0.148 005664 8.406   -1  0.001 0.83886 0.10617
1998-53433-0114 104341.38+372957.01 011 19.450 0.016 19.393 0.019 19.393 0.019 19.604 0.025 19.934 0.091 0.011 010.7 183.7 061.3 DA        015315 00370 7.998 0.078    0    0 000 00000 00000 00000 0.000 0.000 015315 7.998    0  0.000 0.61132 0.02828
1998-53433-0430 103955.08+380037.06 021 18.520 0.024 18.007 0.027 17.827 0.028 17.799 0.019 17.838 0.023 0.018 218.7 183.0 060.4 DA        006928 00038 7.816 0.082   31    6 020 00230 00081 00070 0.510 0.033 006926 7.754   -2 -0.062 0.47986 0.02702
1998-53433-0469 104038.50+380822.92 025 17.857 0.020 17.794 0.031 18.128 0.032 18.406 0.015 18.698 0.040 0.018 040.6 182.7 060.5 DA        011444 00058 9.027 0.028  108   10 022 00233 00073 00064 1.176 0.011 011282 8.838 -162 -0.189 1.08824 0.01024
1999-53503-0026 122337.56+333806.46 020 18.151 0.020 17.797 0.019 17.856 0.021 18.027 0.016 18.150 0.041 0.011 034.8 163.9 081.2 DA        010358 00040 8.383 0.048   56   10 018 00042 00104 00103 0.831 0.030 010250 8.113 -108 -0.270 0.66426 0.01959
1999-53503-0148 121913.95+334119.80 022 18.053 0.023 17.693 0.027 17.914 0.019 18.148 0.016 18.318 0.032 0.010 054.5 167.6 080.5 DA        012893 00119 7.922 0.040   38   11 019 00224 00180 00177 0.567 0.020 013009 7.902  116 -0.020 0.55633 0.01405
1999-53503-0243 121513.58+330147.21 013 18.910 0.022 18.909 0.019 18.909 0.019 19.244 0.023 19.507 0.074 0.011 002.3 173.7 080.2 DA        016861 00263 8.054 0.054    0    0 000 00000 00000 00000 0.000 0.000 016861 8.054    0  0.000 0.64404 0.02012
2000-53495-0206 123950.03+371143.18 013 19.096 0.029 18.736 0.030 18.956 0.021 19.239 0.022 19.489 0.070 0.011 040.7 135.9 079.6 DA        014110 00352 8.064 0.063   27   21 011 00022 00287 00282 0.644 0.034 014175 8.065   65  0.001 0.64475 0.02391
2000-53495-0227 123836.16+373820.40 009 19.594 0.034 19.244 0.015 19.526 0.018 19.706 0.027 19.939 0.109 0.020 014.3 136.5 079.1 DA        014737 00549 7.919 0.102  -23   31 008 00176 00413 00405 0.570 0.048 014737 7.919    0  0.000 0.56972 0.03418
2000-53495-0407 123940.10+390037.85 007 20.064 0.044 19.642 0.021 19.810 0.021 19.898 0.028 20.511 0.146 0.015 029.4 133.9 077.9 DA        013921 00660 8.144 0.102 -150   40 006 02605 00392 00383 0.689 0.058 013996 8.144   75 -0.000 0.68901 0.04079
2001-53493-0208 121539.79+370930.67 012 18.709 0.029 18.688 0.017 18.688 0.017 18.791 0.019 18.969 0.046 0.018 009.5 157.7 077.4 DA        060139 05414 6.529 0.212    0    0 000 00000 00000 00000 0.000 0.000 060139 6.529    0  0.030 0.00000 0.00000
2001-53493-0224 121248.86+375647.14 010 19.559 0.031 18.989 0.027 18.795 0.018 18.712 0.014 18.751 0.035 0.016 094.5 157.4 076.5 DA        006804 00081 7.721 0.204  -19   14 010 00048 00128 00125 0.465 0.086 006803 7.667   -1 -0.054 0.44205 0.05808
2001-53493-0238 121243.27+381704.61 009 19.494 0.048 19.090 0.020 19.196 0.027 19.316 0.032 19.595 0.061 0.013 030.2 156.5 076.2 DA        011380 00149 8.019 0.114  117   25 008 00556 00277 00269 0.614 0.062 011321 7.886  -59 -0.133 0.54382 0.03503
2001-53493-0497 121750.55+385547.75 011 19.273 0.030 18.903 0.025 18.910 0.016 19.033 0.019 19.264 0.052 0.019 082.3 151.5 076.3 DA        009277 00063 8.304 0.102   20   18 010 00364 00151 00147 0.782 0.065 009227 8.034  -50 -0.270 0.61723 0.03998
2001-53493-0533 121951.54+394820.04 003 20.618 0.055 20.211 0.022 20.026 0.023 20.026 0.033 20.045 0.098 0.017 029.8 148.3 075.7 DA:       007249 00192 6.789 0.210  -57   35 003 00108 00501 00485 0.201 0.030 007246 6.571   -3 -0.218 0.17669 0.01320
2002-53471-0608 132355.29+301827.97 013 19.009 0.029 18.533 0.015 18.403 0.017 18.310 0.019 18.014 0.034 0.011 172.8 058.9 082.2 DA+M      007223 00054 6.761 0.061  -99    9 012 00189 00234 00232 0.197 0.009 007220 6.540   -3 -0.221 0.17406 0.00307
2003-53442-0073 122635.54+361346.86 023 18.168 0.021 17.768 0.028 17.810 0.018 18.033 0.015 18.292 0.024 0.008 107.4 151.5 079.5 DA        011412 00062 8.221 0.040   57    9 021 00189 00131 00129 0.726 0.025 011356 8.069  -56 -0.152 0.64135 0.01579
2003-53442-0087 122503.30+352501.41 006 20.029 0.043 19.595 0.021 19.584 0.020 19.720 0.025 19.814 0.070 0.010 025.7 155.5 080.0 DA        009356 00107 8.209 0.212   91   32 006 00008 00225 00222 0.717 0.128 009300 7.941  -56 -0.268 0.56730 0.07389
2003-53442-0349 121727.02+364801.36 009 19.601 0.029 19.099 0.033 19.295 0.016 19.399 0.022 19.592 0.079 0.021 042.7 157.5 077.9 DA        010426 00090 8.317 0.108   38   24 008 00075 00206 00202 0.791 0.070 010317 8.050 -109 -0.267 0.62860 0.04237
2003-53442-0560 122626.12+363216.02 008 20.545 0.061 19.445 0.021 18.963 0.020 18.823 0.017 18.789 0.037 0.010 142.2 150.8 079.2 DA        005472 00108 7.614 0.258   58   29 008 01304 00100 00099 0.409 0.103 005471 7.615   -1  0.001 0.40925 0.07318
2004-53737-0134 121215.30+313853.60 007 20.048 0.055 19.826 0.022 20.085 0.031 20.423 0.047 21.059 0.265 0.015 023.0 182.7 080.3 DA        016002 00563 8.184 0.112  145   41 006 00075 00486 00479 0.713 0.066 016002 8.184    0  0.000 0.71322 0.04676
2004-53737-0294 120723.69+313154.95 014 19.358 0.032 18.906 0.020 19.164 0.021 19.391 0.023 19.598 0.061 0.018 020.3 185.7 079.4 DA        013207 00232 8.117 0.060   58   18 013 00138 00282 00277 0.672 0.034 013317 8.099  110 -0.018 0.66232 0.02372
2004-53737-0311 120729.10+314703.39 010 18.881 0.040 19.354 0.028 19.931 0.028 20.347 0.045 20.773 0.220 0.016 013.0 184.3 079.4 DA        082085 08000 6.700 0.380    0    0 000 00000 00000 00000 0.000 0.000 080000 6.584    0  0.000 0.45827 0.07533
2004-53737-0495 121227.80+321753.97 010 19.785 0.045 19.463 0.020 19.673 0.020 19.949 0.027 20.042 0.083 0.011 022.1 179.2 080.1 DA        015095 00308 8.041 0.067  -10   26 009 00000 00430 00423 0.634 0.050 015095 8.041    0  0.000 0.63366 0.02510
2004-53737-0631 121730.20+322633.57 025 18.346 0.034 17.935 0.026 17.780 0.015 17.792 0.020 17.825 0.025 0.011 057.2 175.1 080.9 DA        007135 00030 7.629 0.079    6    5 024 00436 00093 00092 0.427 0.034 007133 7.532   -2 -0.097 0.38585 0.02131
2005-53472-0086 133652.06+372720.86 027 17.470 0.015 17.073 0.020 16.956 0.016 16.966 0.012 17.047 0.014 0.008 145.8 082.9 075.9 DA        007546 00026 8.139 0.058   45    5 026 00351 00050 00049 0.674 0.034 007543 8.023   -3 -0.116 0.60725 0.02283
2006-53476-0003 130453.00+324320.96 008 19.406 0.039 18.957 0.018 19.158 0.017 19.386 0.022 19.658 0.057 0.009 033.6 096.2 083.7 DA        011183 00154 7.954 0.144   49   29 007 01363 00279 00277 0.579 0.068 011099 7.804  -84 -0.150 0.52110 0.04153
2006-53476-0332 125715.54+341439.38 036 17.087 0.014 16.790 0.017 16.824 0.016 16.913 0.019 17.112 0.019 0.008 042.4 113.3 082.8 DAH       010001 00152 8.826 0.166    0    0 000 00000 00000 00000 0.000 0.000 009898 8.559 -103 -0.267 0.94125 0.06813
2006-53476-0354 125503.19+340859.47 018 18.315 0.023 18.231 0.025 18.565 0.018 18.841 0.022 19.109 0.042 0.011 087.4 116.8 082.9 DA        019178 00220 7.939 0.039   34   14 016 00379 00329 00326 0.590 0.019 019178 7.939    0  0.000 0.58973 0.01320
2006-53476-0378 125846.63+343218.90 014 18.838 0.023 18.374 0.020 18.314 0.018 18.419 0.015 18.845 0.040 0.010 059.6 111.4 082.4 DA        008089 00049 8.002 0.098   24   10 014 00930 00118 00117 0.597 0.054 008080 7.816   -9 -0.186 0.51535 0.02870
2008-53473-0085 114345.79+311749.21 008 19.730 0.034 19.290 0.019 19.332 0.019 19.511 0.022 19.679 0.077 0.020 043.2 193.1 074.7 DA        009976 00095 8.122 0.153   26   28 007 00088 00232 00223 0.669 0.091 009881 7.853  -95 -0.269 0.52475 0.04820
2008-53473-0198 114154.03+305655.29 016 18.905 0.026 18.497 0.022 18.717 0.019 18.909 0.025 19.138 0.061 0.019 015.2 194.7 074.3 DA        010996 00073 7.998 0.072   -1   15 014 01475 00212 00204 0.602 0.039 010897 7.816  -99 -0.182 0.52199 0.01865
2008-53473-0555 114505.24+321925.24 008 19.802 0.046 19.479 0.020 19.839 0.027 20.164 0.043 20.325 0.166 0.017 015.5 189.1 074.7 DA        017548 00506 7.083 0.094   -8   27 008 00814 01004 00969 0.303 0.031 017548 7.083    0  0.000 0.30316 0.02208
2009-53857-0109 131141.03+281742.59 014 18.846 0.023 18.493 0.013 18.424 0.018 18.436 0.017 18.682 0.041 0.009 043.9 048.7 085.4 DA        008176 00050 7.598 0.127   30   11 013 00184 00158 00157 0.418 0.051 008164 7.386  -12 -0.212 0.34108 0.02839
2010-53495-0144 123346.10+355922.60 008 19.469 0.037 19.282 0.029 19.504 0.018 19.833 0.028 20.033 0.091 0.010 012.1 144.8 080.4 DA        021413 00719 7.963 0.105  113   35 007 05432 00563 00556 0.607 0.051 021413 7.963    0  0.000 0.60685 0.03583
2010-53495-0202 123154.04+354550.30 009 19.650 0.029 19.296 0.017 19.460 0.018 19.175 0.023 18.752 0.031 0.009 021.6 147.4 080.4 DA+M      010764 00118 7.536 0.145   49   24 008 03242 00364 00358 0.405 0.053 010611 7.363 -153 -0.173 0.34707 0.03024
2010-53495-0278 123222.16+352835.11 008 19.709 0.035 19.296 0.030 19.307 0.020 19.415 0.026 19.560 0.056 0.009 073.7 147.7 080.7 DA        009054 00070 8.095 0.113  -24   23 008 00233 00204 00201 0.651 0.064 009014 7.824  -40 -0.271 0.52148 0.03354
2010-53495-0307 123110.29+350112.99 015 18.784 0.020 18.378 0.019 18.618 0.015 18.820 0.014 19.081 0.048 0.015 039.3 150.5 081.0 DA        013549 00425 8.080 0.062   66   18 013 00164 00230 00228 0.652 0.034 013649 8.076  100 -0.004 0.64987 0.02373
2011-53499-0349 125648.88+300937.24 014 19.020 0.026 18.638 0.022 18.641 0.019 18.686 0.024 18.850 0.047 0.010 053.8 102.0 086.7 DA        008868 00065 8.074 0.108   12   12 013 00068 00146 00146 0.639 0.062 008836 7.809  -32 -0.265 0.51464 0.03137
2012-53493-0021 114432.16+345738.29 007 19.823 0.036 19.294 0.070 19.065 0.205 18.994 0.403 19.071 0.253 0.017 058.1 180.1 073.7 DA        006661 00116 8.287 0.196   39   22 007 00317 00094 00090 0.768 0.123 006660 8.260   -1 -0.027 0.74639 0.08661
2012-53493-0181 114012.76+343201.68 011 19.346 0.024 19.099 0.023 19.099 0.023 19.334 0.030 19.625 0.065 0.017 009.9 182.7 073.0 DA        011802 00172 7.854 0.108    0    0 000 00000 00000 00000 0.000 0.000 011799 7.778   -3 -0.076 0.51066 0.02870
2012-53493-0263 113757.63+350502.13 030 17.439 0.023 17.127 0.017 17.392 0.013 17.647 0.031 17.910 0.026 0.017 012.1 181.5 072.4 DA        015122 00097 8.111 0.022   29    8 027 00002 00142 00135 0.672 0.012 015122 8.111    0  0.000 0.67205 0.00849
2012-53493-0339 113415.32+361323.01 007 19.452 0.032 19.549 0.027 19.929 0.025 20.175 0.039 20.412 0.142 0.018 020.0 179.1 071.3 DA        024527 00985 7.639 0.126   55   41 006 01262 00922 00874 0.501 0.031 024527 7.639    0  0.000 0.50060 0.02229
2012-53493-0452 113823.23+360239.69 008 20.058 0.039 19.548 0.032 19.787 0.026 19.993 0.032 20.258 0.119 0.016 041.8 178.5 072.1 DA        011735 00205 7.625 0.154   47   30 007 00386 00471 00448 0.446 0.061 011704 7.573  -31 -0.052 0.42414 0.04076
2013-53818-0361 122147.29+330426.51 009 19.355 0.039 18.948 0.030 18.812 0.022 18.766 0.017 18.838 0.043 0.012 081.4 168.3 081.3 DA        007400 00080 7.878 0.194   40   14 009 00029 00135 00133 0.529 0.091 007397 7.767   -3 -0.111 0.48796 0.05971
2013-53818-0377 122121.00+330634.96 020 18.443 0.031 18.015 0.029 17.893 0.021 17.885 0.013 17.951 0.022 0.012 069.0 168.5 081.2 DA        007593 00034 7.716 0.088   45    6 019 00064 00102 00101 0.466 0.039 007589 7.573   -4 -0.143 0.40427 0.02539
2015-53819-0208 122646.28+333345.58 018 18.321 0.017 18.239 0.022 18.600 0.025 18.783 0.017 19.022 0.042 0.016 019.0 161.0 081.7 DA        020630 00265 7.934 0.043   -9   15 016 02314 00348 00344 0.591 0.020 020630 7.934    0  0.000 0.59061 0.01432
2015-53819-0232 122708.87+340913.95 018 18.227 0.015 18.275 0.020 18.660 0.017 18.990 0.041 19.394 0.051 0.013 044.7 158.1 081.2 DA        022909 00298 7.791 0.041   24   14 017 00103 00440 00435 0.531 0.012 022909 7.791    0  0.000 0.53063 0.00911
2016-53799-0102 130957.60+350947.26 046 15.704 0.018 15.309 0.008 15.398 0.023 15.585 0.014 15.803 0.012 0.012 229.7 097.8 081.0 DA        011111 00025 8.247 0.016   22    3 044 00006 00041 00040 0.745 0.012 011024 8.059  -87 -0.188 0.63516 0.00625
2017-53474-0042 134445.68+271137.97 018 18.497 0.020 18.133 0.021 18.133 0.021 18.207 0.013 18.267 0.031 0.010 000.0 036.3 078.1 DA        009329 00037 8.194 0.072    0    0 000 00000 00000 00000 0.000 0.000 009275 7.925  -54 -0.269 0.55843 0.02568
2017-53474-0158 134401.21+281247.77 014 18.902 0.014 18.506 0.016 18.506 0.016 18.607 0.021 18.731 0.041 0.010 000.0 041.3 078.3 DA        009176 00047 8.044 0.092    0    0 000 00000 00000 00000 0.000 0.000 009128 7.773  -48 -0.271 0.49768 0.02490
2018-53800-0175 130248.85+375155.16 042 17.019 0.016 16.651 0.020 16.897 0.011 17.115 0.024 17.382 0.020 0.010 087.9 111.1 079.0 DA        014504 00073 8.064 0.016   14    5 038 00609 00114 00112 0.645 0.009 014504 8.064    0  0.000 0.64484 0.00613
2018-53800-0406 130111.52+390034.29 008 19.835 0.028 19.442 0.027 19.773 0.021 19.945 0.024 20.109 0.077 0.012 041.8 113.8 077.9 DA        013368 00627 7.394 0.127  -16   30 007 00510 00596 00583 0.371 0.035 013478 7.395  110  0.001 0.37136 0.02483
2018-53800-0570 130521.60+385900.10 046 16.140 0.015 16.529 0.018 17.104 0.013 17.424 0.019 17.768 0.021 0.012 022.1 110.0 077.8 DAO       043816 00355 6.503 0.040    0    0 000 00000 00000 00000 0.000 0.000 043816 6.503    0  0.000 0.25741 0.00123
2019-53430-0171 104112.84+314103.61 008 19.767 0.034 19.408 0.023 19.529 0.019 19.689 0.025 20.004 0.093 0.021 026.8 195.9 061.4 DA        010767 00131 8.182 0.140    4   28 007 00371 00265 00232 0.706 0.084 010660 7.951 -107 -0.231 0.57586 0.04684
2019-53430-0393 103949.00+320040.79 009 19.814 0.035 19.443 0.020 19.601 0.017 19.793 0.028 19.936 0.095 0.019 059.6 195.2 061.1 DA        011513 00168 7.815 0.113   34   25 008 00157 00379 00331 0.522 0.045 011463 7.721  -50 -0.094 0.48320 0.03016
2020-53431-0124 123959.50+330628.84 009 19.569 0.056 19.164 0.030 19.332 0.024 19.452 0.026 19.612 0.113 0.015 039.8 144.7 083.5 DA        010828 00122 8.639 0.102   -2   29 008 00031 00171 00170 0.986 0.053 010706 8.399 -122 -0.240 0.84172 0.04440
2020-53431-0217 123805.74+332524.02 007 19.155 0.027 19.259 0.020 19.748 0.025 20.127 0.038 20.353 0.207 0.015 062.5 146.7 083.1 DA        028818 00628 7.949 0.121  200   49 006 01841 00798 00792 0.616 0.056 028818 7.949    0  0.000 0.61580 0.03960
2020-53431-0239 123643.46+335213.27 017 18.744 0.018 18.324 0.019 18.624 0.016 18.873 0.021 19.040 0.044 0.015 059.0 147.2 082.6 DA        014394 00292 7.895 0.047   74   15 015 00039 00275 00273 0.556 0.022 014444 7.896   50  0.001 0.55696 0.01591
2020-53431-0380 123731.44+344822.51 029 17.874 0.017 17.480 0.025 17.506 0.019 17.589 0.029 17.711 0.026 0.012 033.0 143.3 081.8 DA        008880 00022 8.203 0.026   20    5 028 00355 00079 00079 0.713 0.014 008849 7.937  -31 -0.266 0.56382 0.00980
2021-53475-0097 130003.96+390636.35 020 18.265 0.016 17.826 0.012 17.907 0.013 18.024 0.028 18.151 0.022 0.014 108.2 114.9 077.9 DA        009648 00034 8.122 0.059    0    9 018 00115 00115 00112 0.668 0.035 009573 7.857  -75 -0.265 0.52521 0.01599
2021-53475-0281 125426.04+384342.06 009 19.553 0.022 19.059 0.026 18.976 0.014 19.022 0.025 19.160 0.043 0.018 096.5 120.0 078.4 DA        007887 00070 6.973 0.078  -34   16 008 00003 00316 00310 0.238 0.014 007877 6.741  -10 -0.232 0.19798 0.00799
2022-53827-0062 124843.01+354238.13 008 19.363 0.029 19.017 0.033 19.239 0.021 19.483 0.028 19.602 0.062 0.015 033.8 126.6 081.4 DA        013086 00405 7.906 0.108   77   30 007 00280 00335 00331 0.559 0.046 013205 7.895  119 -0.011 0.55326 0.03196
2022-53827-0348 123834.37+362742.04 006 20.211 0.044 19.666 0.024 19.623 0.022 19.088 0.024 18.340 0.030 0.012 051.8 138.4 080.3 DA+M      015947 00711 7.667 0.155  201   45 005 05368 00472 00465 0.478 0.051 015947 7.667    0  0.000 0.47834 0.03582
2023-53851-0061 132251.04+344415.91 007 19.767 0.032 19.227 0.026 19.115 0.020 19.080 0.027 19.155 0.045 0.009 016.2 083.4 079.8 DA        007132 00106 7.973 0.256   31   19 007 00232 00138 00136 0.578 0.130 007130 7.896   -2 -0.077 0.53715 0.08868
2023-53851-0616 132334.64+360911.88 014 19.069 0.022 18.643 0.021 18.711 0.020 18.901 0.031 19.044 0.055 0.010 037.8 087.8 078.7 DA        010048 00054 8.286 0.070  -33   14 013 00215 00158 00155 0.773 0.046 009952 8.017  -96 -0.269 0.60969 0.02697
2023-53851-0627 132509.66+351105.38 017 18.689 0.020 18.303 0.022 18.350 0.018 18.480 0.015 18.633 0.035 0.008 021.3 083.2 079.2 DA        009973 00041 8.308 0.058    2   11 016 00005 00130 00128 0.785 0.037 009881 8.040  -92 -0.268 0.62200 0.02280
2024-53503-0125 134748.69+314148.96 006 19.479 0.029 19.234 0.026 19.547 0.024 19.803 0.030 20.087 0.100 0.014 018.3 056.7 076.9 DA        015760 00613 7.995 0.129   16   45 005 00129 00422 00411 0.611 0.066 015760 7.995    0  0.000 0.61074 0.04676
2024-53503-0194 134806.71+304622.08 011 19.035 0.030 18.672 0.027 18.844 0.022 19.027 0.024 19.265 0.080 0.015 088.9 052.7 077.1 DA        011693 00155 8.382 0.087  -51   23 010 00272 00186 00181 0.832 0.053 011663 8.235  -30 -0.147 0.73720 0.03807
2024-53503-0269 134601.49+310501.00 019 18.327 0.030 17.991 0.016 18.155 0.019 18.378 0.018 18.596 0.033 0.012 089.4 054.5 077.4 DA        011949 00089 8.086 0.048   36   12 017 00302 00172 00168 0.652 0.027 011971 7.988   22 -0.098 0.59853 0.01785
2024-53503-0626 135301.52+331244.34 010 19.156 0.031 18.974 0.013 19.278 0.017 19.547 0.022 19.842 0.079 0.015 020.3 061.2 075.4 DA        015442 00388 7.976 0.080  -10   27 009 01088 00371 00359 0.600 0.040 015442 7.976    0  0.000 0.59996 0.02864
2025-53431-0081 104717.12+330417.64 019 17.848 0.016 17.896 0.021 18.387 0.025 18.581 0.018 18.865 0.041 0.019 043.8 192.8 062.6 DA        023657 00396 7.874 0.048   25   15 017 00413 00357 00317 0.570 0.021 023657 7.874    0  0.000 0.56979 0.01502
2025-53431-0132 104615.74+331853.33 020 17.749 0.018 17.835 0.015 18.254 0.016 18.564 0.021 18.849 0.040 0.018 026.0 192.3 062.4 DA        026568 00313 7.844 0.043   -5   14 018 02149 00399 00353 0.563 0.018 026568 7.844    0  0.000 0.56269 0.01304
2025-53431-0322 104120.47+350457.76 007 19.594 0.042 19.275 0.019 19.599 0.022 19.852 0.031 20.277 0.163 0.014 033.5 188.8 061.2 DA        016137 00520 8.163 0.101   31   38 007 00273 00391 00342 0.704 0.060 016137 8.163    0  0.000 0.70445 0.04214
2025-53431-0442 104709.17+345346.51 038 16.983 0.013 16.493 0.016 16.468 0.017 16.508 0.024 16.595 0.013 0.015 074.6 188.9 062.4 DA        008949 00020 7.993 0.034  -29    3 036 00443 00059 00052 0.594 0.018 008913 7.724  -36 -0.269 0.47452 0.01032
2025-53431-0452 104734.94+344724.85 007 19.911 0.033 19.565 0.019 19.768 0.024 19.981 0.036 20.099 0.109 0.017 047.2 189.1 062.5 DA        014043 00515 7.617 0.125   23   37 006 00592 00552 00489 0.453 0.047 014120 7.618   77  0.001 0.45381 0.03310
2025-53431-0583 104951.09+342212.30 012 19.115 0.024 18.743 0.017 18.743 0.021 18.756 0.019 18.921 0.039 0.016 101.6 189.9 063.0 DA        008954 00065 8.010 0.077    6   14 012 00002 00162 00144 0.603 0.042 008918 7.741  -36 -0.269 0.48201 0.02450
2026-53711-0161 105315.64+315640.69 017 18.836 0.037 18.429 0.022 18.450 0.017 18.540 0.019 18.699 0.036 0.023 043.8 195.1 063.9 DA        009299 00038 8.088 0.073  -31   11 016 00007 00143 00128 0.648 0.042 009245 7.819  -54 -0.269 0.52117 0.02035
2026-53711-0507 105517.17+323059.14 007 20.231 0.044 19.805 0.024 20.070 0.022 20.290 0.035 20.615 0.150 0.016 016.8 193.8 064.3 DA        012930 00386 8.428 0.114   -4   38 006 00564 00339 00306 0.863 0.070 013013 8.358   83 -0.070 0.81841 0.05040
2029-53819-0046 130754.21+304429.17 012 19.139 0.027 18.729 0.028 18.743 0.016 18.890 0.019 19.081 0.058 0.009 071.2 079.0 084.9 DA        009837 00061 8.251 0.097    9   18 011 00012 00160 00160 0.746 0.060 009752 7.985  -85 -0.266 0.59157 0.03697
