name,ra,dec
277090540953615616,68.32301890196736,55.45367816673778
279096973579137152,71.12466585383169,59.30224307273282
1095658118694821504,117.14500730470968,66.15821977940604
1092988671965048960,130.6121496229795,66.09300880648814
1094575473403508736,120.8067516537796,65.02892292551883
2278353672335634688,313.36171626967626,76.1644792069331
2277371293052349184,320.5603685928689,75.42044213778462
739848218845670656,150.4823315223548,26.967217255700547
751988403470813440,160.26574027907506,37.67946797115401
753249852545153664,153.0351531524983,34.57905836351047
729193465841240576,158.1169449445131,28.490646269198763
