#Table1
name,specobjid,ra,dec,plate,mjd,fiberid
1012669691155648128,861362669695821824,137.08292,49.08273,765,52254,179
1011119104880885376,6458184506033854464,138.20384,45.927069,5736,55984,82
1021853636902771584,6466179055532398592,146.18462,55.288917,5743,56011,494
1038076351151065088,6426830567996938240,134.89765,60.269597,5708,56605,705
1023107355036450432,624937708233451520,141.43252,54.450936,555,52266,230
1023352649208495744,8202423930709104640,141.31208,55.154591,7285,56991,884
1940284426957710848,2126851641540896768,353.87184,48.016294,1889,53240,97
1211355290583415168,2438782007472318464,233.41727,21.150064,2166,54232,301
1203312813999856896,4424857916726859776,239.83782,19.068854,3930,55332,259
1212425463290645504,2427499648697526272,228.57276,19.693317,2156,54525,216
1204122565656852864,4431624035902969856,237.61128,20.331002,3936,55302,298
1204247364523767168,4431555316426233856,238.74831,20.177904,3936,55302,48
692221154702976512,6507915971579369472,135.39476,27.138124,5780,56274,780
361278458368372992,7737376134325884928,12.588713,32.977008,6872,56540,698
1766826194114406656,823181582121592832,324.08987,11.624129,731,52460,541
674889926578102528,12500908864399759360,116.91346,22.593154,11103,58488,153
679160601536162816,1784700385865263104,125.46386,24.828768,1585,52962,542
679451907694651904,5022734690966329344,125.08125,25.509764,4461,55888,346
681933535501912192,12521232236488710144,121.85199,26.043863,11121,58438,361
722128828755291392,2664015581795084288,155.98399,22.159105,2366,53741,496
724012189094256512,2648151553638164480,158.93332,23.96238,2352,53770,127
724336785542611200,2644901671540385792,157.76497,24.779247,2349,53734,592
708167028242873344,1360222097346947072,128.25967,30.994888,1208,52672,491
1629777807787862784,2882404712257185792,246.17446,63.962846,2560,54205,367
863565851319491840,872711279649777664,170.67861,62.013997,775,52295,505
861577625059010176,7997457365569132544,165.32708,60.670532,7103,56661,692
593918802224747776,5974252054281213952,140.61905,12.190523,5306,55926,826
599615711270729984,1979477773260974080,127.62405,8.837272,1758,53084,530
2465208938963348224,3225867960518207488,25.835172,-8.927054,2865,54503,599
908364559240386944,3006301254377826304,125.00545,38.576388,2670,54115,540
908667985793707264,4283116298286946304,122.67242,38.116538,3804,55267,702
910627693471836928,4239200708405254144,130.30072,38.653285,3765,55508,682
921840203814980608,614819176577525760,121.8505,41.303963,546,52205,283
931304937345481344,3573708364905029632,125.23363,48.064698,3174,54821,371
931720110359357824,498841584998049792,125.77968,48.686011,443,51873,247
1424062412046712576,9077005737151191040,246.35595,51.172439,8062,58251,2
1424915637365582720,9077056314686068736,245.44701,51.955436,8062,58251,186
1449461306742292608,6755546877989771264,200.9595,27.462264,6000,56102,536
1453142364297514368,7315081477225732096,212.99185,29.732999,6497,56329,399
1457097926097774976,7311832695813986304,209.19968,31.318738,6494,56363,868
828463697789196416,3568006847359197184,148.3043,52.818548,3169,54821,109
835516034089277696,7545880788518328320,160.79758,49.0399,6702,56381,362
836687632448189184,986393091655100416,161.62276,50.712704,876,52669,381
853277819806283392,7978226907148998656,153.75069,56.307664,7086,56658,364
843165306419569920,7541461030947543040,170.85848,54.586828,6698,56637,667
833452873535333760,1063013658025551872,155.64549,46.016332,944,52614,597
1196268169985007104,4427098446630246400,236.23393,16.900942,3932,55337,218
1195713603807069568,4421522273342871552,236.21653,14.706318,3927,55333,412
936641833642799744,6693566859638495232,120.3798,53.483645,5945,56213,334
