,Unnamed: 0,Unnamed: 0.1,bestObjID,specObjID,plate,mjd,fiberID,url,source_id,object_num,mainseq_source,mainseq_bestobjid,mainseq_sourceobjid,mainseq_plate,mainseq_mjd,mainseq_fiberID,mainseq_url
438,438,23657,1237669697832747318,4.61185048770823e+18,4096,55501,598,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4096/spec-4096-55501-0598.fits,2697455756441376896,2,2697455756441376896,1237669697832747318,4.61185048770823e+18,4096,55501,598,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4096/spec-4096-55501-0598.fits
439,439,23683,1237661353776840888,9.206591963863688e+18,8177,57374,394,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/8177/spec-8177-57374-0394.fits,856167645599055744,2,856167645599055744,1237661353776840888,9.206591963863688e+18,8177,57374,394,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/8177/spec-8177-57374-0394.fits
440,440,23743,1237651274051092499,7.684452794359587e+18,6825,56717,676,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6825/spec-6825-56717-0676.fits,1672479751330081152,2,1672479751330081152,1237651274051092499,2.752973233266387e+18,2445,54573,538,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2445/spec-2445-54573-0538.fits
441,441,23779,1237680500748976398,8.041410341312111e+18,7142,56567,848,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7142/spec-7142-56567-0848.fits,1902773453904187776,2,1902773453904187776,1237680500748976398,8.041410341312111e+18,7142,56567,848,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7142/spec-7142-56567-0848.fits
442,442,23863,1237655468597903745,4.51837166052964e+18,4013,55629,492,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4013/spec-4013-55629-0492.fits,1153557434644593920,2,1153557434644593920,1237655468597903745,4.51837166052964e+18,4013,55629,492,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4013/spec-4013-55629-0492.fits
443,443,23918,1237661950816878770,5.512503346513027e+18,4896,55712,354,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4896/spec-4896-55712-0354.fits,4450343205429610112,2,4450343205429610112,1237661950816878770,5.512503346513027e+18,4896,55712,354,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4896/spec-4896-55712-0354.fits
444,444,24006,1237661950781227110,6.021329844519805e+18,5348,55978,62,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5348/spec-5348-55978-0062.fits,3872370006159710464,2,3872370006159710464,1237661950781227110,6.021329844519805e+18,5348,55978,62,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5348/spec-5348-55978-0062.fits
445,445,24007,1237654881271152796,5.476412426550223e+18,4864,55680,128,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4864/spec-4864-55680-0128.fits,3671977891669036416,2,3671977891669036416,1237654881271152796,5.476412426550223e+18,4864,55680,128,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4864/spec-4864-55680-0128.fits
446,446,24032,1237667252920910110,5.827673965108109e+18,5176,56221,58,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5176/spec-5176-56221-0058.fits,660037242470986624,2,660037242470986624,1237667252920910110,5.827673965108109e+18,5176,56221,58,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5176/spec-5176-56221-0058.fits
447,447,24038,1237679438279802967,4.952835162083664e+18,4399,55811,5,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4399/spec-4399-55811-0005.fits,5177859052746654208,2,5177859052746654208,1237679438279802967,4.952835162083664e+18,4399,55811,5,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4399/spec-4399-55811-0005.fits
448,448,24041,1237680245194752252,5.664433871577391e+18,5031,56209,114,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5031/spec-5031-56209-0114.fits,2736896166242318976,2,2736896166242318976,1237680245194752252,5.664433871577391e+18,5031,56209,114,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5031/spec-5031-56209-0114.fits
449,449,24093,1237658205595566302,7.584173479726916e+18,6736,56366,406,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6736/spec-6736-56366-0406.fits,1493912495975481984,2,1493912495975481984,1237658205595566302,7.584173479726916e+18,6736,56366,406,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6736/spec-6736-56366-0406.fits
450,450,24126,1237657611266752877,7.699117525863211e+18,6838,56429,778,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6838/spec-6838-56429-0778.fits,1575259554516807936,2,1575259554516807936,1237657611266752877,7.699117525863211e+18,6838,56429,778,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6838/spec-6838-56429-0778.fits
451,451,24146,1237668310554640393,5.516988804651524e+18,4900,55739,288,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4900/spec-4900-55739-0288.fits,1189846751499248000,2,1189846751499248000,1237668310554640393,5.49678527818915e+18,4882,55721,516,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4882/spec-4882-55721-0516.fits
452,452,24151,1237657608571125813,4.2830101954145567e+18,3804,55267,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3804/spec-3804-55267-0316.fits,906278918825853312,2,906278918825853312,1237657608571125813,4.2830101954145567e+18,3804,55267,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3804/spec-3804-55267-0316.fits
453,453,24218,1237665567144280115,6.770048611256345e+18,6013,56074,45,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6013/spec-6013-56074-0045.fits,1253031630294811136,2,1253031630294811136,1237665567144280115,6.770048611256345e+18,6013,56074,45,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6013/spec-6013-56074-0045.fits
454,454,24239,1237659330849275991,6.793848365559816e+18,6034,56103,612,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6034/spec-6034-56103-0612.fits,1386096898311119872,2,1386096898311119872,1237659330849275991,6.793848365559816e+18,6034,56103,612,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6034/spec-6034-56103-0612.fits
455,455,24245,1237680509335830582,8.042466147436569e+18,7143,56572,593,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7143/spec-7143-56572-0593.fits,2879072503002076672,2,2879072503002076672,1237680509335830582,8.042466147436569e+18,7143,56572,593,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/7143/spec-7143-56572-0593.fits
456,456,24256,1237678845034168363,4.598405658617815e+18,4084,55447,838,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4084/spec-4084-55447-0838.fits,2699743324742473216,2,2699743324742473216,1237678845034168363,4.598405658617815e+18,4084,55447,838,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4084/spec-4084-55447-0838.fits
457,457,24284,1237663458852798650,4.722237605990605e+18,4194,55450,776,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4194/spec-4194-55450-0776.fits,2688215048406240640,2,2688215048406240640,1237663458852798650,4.722237605990605e+18,4194,55450,776,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4194/spec-4194-55450-0776.fits
458,458,24319,1237667252943061019,6.734167428136149e+18,5981,56340,582,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5981/spec-5981-56340-0582.fits,4010863661865642368,2,4010863661865642368,1237667252943061019,6.734167428136149e+18,5981,56340,582,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5981/spec-5981-56340-0582.fits
459,459,24370,1237657775009890570,5.286187023987614e+18,4695,55957,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4695/spec-4695-55957-0316.fits,821099753022182784,2,821099753022182784,1237657775009890570,5.286187023987614e+18,4695,55957,316,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4695/spec-4695-55957-0316.fits
460,460,24380,1237654601556689183,4.2966221494503096e+18,3816,55272,684,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3816/spec-3816-55272-0684.fits,578467257945087104,2,578467257945087104,1237654601556689183,6.362838429105132e+17,565,52225,547,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0565/spec-0565-52225-0547.fits
461,461,24460,1237680512556728729,7.738505332784079e+18,6873,56541,710,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6873/spec-6873-56541-0710.fits,365367031011191040,2,365367031011191040,1237680512556728729,7.738505332784079e+18,6873,56541,710,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6873/spec-6873-56541-0710.fits
462,462,24519,1237678778477772908,4.959836577972855e+18,4405,55854,900,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4405/spec-4405-55854-0900.fits,2745244002118134400,2,2745244002118134400,1237678778477772908,4.959836577972855e+18,4405,55854,900,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4405/spec-4405-55854-0900.fits
463,463,24595,1237667782819840005,6.51002483484758e+18,5782,56272,260,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5782/spec-5782-56272-0260.fits,626494956638789248,2,626494956638789248,1237667782819840005,6.51002483484758e+18,5782,56272,260,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5782/spec-5782-56272-0260.fits
464,464,24661,1237667252927332441,6.51575631378328e+18,5787,56254,631,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5787/spec-5787-56254-0631.fits,642903797588677248,2,642903797588677248,1237667252927332441,6.51575631378328e+18,5787,56254,631,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5787/spec-5787-56254-0631.fits
465,465,24691,1237661950798921797,6.116090704907182e+18,5432,56008,736,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5432/spec-5432-56008-0736.fits,3739784361441769728,2,3739784361441769728,1237661950798921797,6.116090704907182e+18,5432,56008,736,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5432/spec-5432-56008-0736.fits
466,466,24699,1237669762800025885,5.695943400609522e+18,5059,56190,57,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5059/spec-5059-56190-0057.fits,2712491062555497728,2,2712491062555497728,1237669762800025885,5.695943400609522e+18,5059,56190,57,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5059/spec-5059-56190-0057.fits
467,467,24750,1237658299529822287,5.487766533257011e+18,4874,55673,474,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4874/spec-4874-55673-0474.fits,3850459621340876544,2,3850459621340876544,1237658299529822287,5.487766533257011e+18,4874,55673,474,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4874/spec-4874-55673-0474.fits
468,468,24762,1237662302450286979,4.716464074275135e+18,4189,55679,252,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4189/spec-4189-55679-0252.fits,1307617155638441344,2,1307617155638441344,1237662302450286979,4.716464074275135e+18,4189,55679,252,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4189/spec-4189-55679-0252.fits
469,469,24796,1237660024522604607,4.776190642001781e+18,4242,55476,448,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4242/spec-4242-55476-0448.fits,2497494654805378816,2,2497494654805378816,1237660024522604607,7.972042407443436e+17,708,52175,244,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0708/spec-0708-52175-0244.fits
470,470,24804,1237665228376375560,5.19513426114587e+18,4614,55604,844,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4614/spec-4614-55604-0844.fits,4030751529404471552,2,4030751529404471552,1237665228376375560,5.19513426114587e+18,4614,55604,844,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4614/spec-4614-55604-0844.fits
471,471,24827,1237662637974683819,6.145337714256355e+18,5458,56011,640,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5458/spec-5458-56011-0640.fits,1227145755026995200,2,1227145755026995200,1237662637974683819,6.145337714256355e+18,5458,56011,640,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5458/spec-5458-56011-0640.fits
472,472,24900,1237658299531526480,5.488797875230974e+18,4875,55677,130,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4875/spec-4875-55677-0130.fits,3873747208897692928,2,3873747208897692928,1237658299531526480,5.488797875230974e+18,4875,55677,130,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4875/spec-4875-55677-0130.fits
