,Unnamed: 0,bestObjID,specObjID,plate,mjd,fiberID,url,source_id,object_num,mainseq_source,mainseq_sourc0e,mainseq_bestobjid,mainseq_sourceobjid,mainseq_plate,mainseq_mjd,mainseq_fiberID,mainseq_url
19,22871,1237665227839439023,5.195126564564476e+18,4614,55604,816,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4614/spec-4614-55604-0816.fits,4030722594210006784,2,4030722598505336192,4030722598505336192,1237665227839438918,2.2417577569251758e+18,1991,53446,331,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1991/spec-1991-53446-0331.fits
20,22981,1237661068187336755,6.064341090634277e+18,5386,56008,888,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5386/spec-5386-56008-0888.fits,3920275276810355200,2,3920275276810355072,3920275276810355072,1237661068187336754,1.9849866077526036e+18,1763,53463,91,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1763/spec-1763-53463-0091.fits
21,23073,1237671129131057196,6.069902970069164e+18,5391,56000,642,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5391/spec-5391-56000-0642.fits,3906688955223470080,1,3906688955223834368,3906688955223834368,1237671129131057197,6.066350997470421e+18,5388,55983,8,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5388/spec-5388-55983-0008.fits
22,23405,1237671125375516687,5.984248814873059e+18,5315,55978,330,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5315/spec-5315-55978-0330.fits,617887567299258752,2,617887567299257600,617887567299257600,1237671125375516686,2.9049446987307684e+18,2580,54092,447,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2580/spec-2580-54092-0447.fits
23,24007,1237654881271152796,5.476412426550223e+18,4864,55680,128,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4864/spec-4864-55680-0128.fits,3671977891669036416,2,3671977861604162048,3671977861604162048,1237654881271152921,9.62816808644012e+17,855,52375,627,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0855/spec-0855-52375-0627.fits
24,24284,1237663458852798650,4.722237605990605e+18,4194,55450,776,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4194/spec-4194-55450-0776.fits,2688215048406240640,2,2688215052700206976,2688215052700206976,1237663458852798648,2.2080049465095363e+18,1961,53299,419,https://data.sdss.org/sas/dr14/sdss/spectro/redux/103/spectra/1961/spec-1961-53299-0419.fits
25,24796,1237660024522604607,4.776190642001781e+18,4242,55476,448,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4242/spec-4242-55476-0448.fits,2497494654805378816,2,2497494654803989760,2497494654803989760,1237660024522604606,1.7024442729486356e+18,1512,53035,304,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/1512/spec-1512-53035-0304.fits
26,25108,1237655107301539906,9.213240985571532e+18,8183,57375,7,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/8183/spec-8183-57375-0007.fits,858066162875941376,1,858066162877217920,858066162877217920,1237655107301539906,3.243796047348132e+18,2881,54502,285,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2881/spec-2881-54502-0285.fits
27,25347,1237651067892531387,7.685478084456194e+18,6826,56449,310,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/6826/spec-6826-56449-0310.fits,1678050873667756032,1,1678050701869897088,1678050701869897088,1237651067892531387,6.779569803037512e+17,602,52072,601,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/0602/spec-0602-52072-0601.fits
28,25533,1237660614510313502,6.041824191170191e+18,5366,55958,892,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5366/spec-5366-55958-0892.fits,3915162208438907392,2,3915162204144490368,3915162204144490368,1237660614510313501,2.69441845965517e+18,2393,54156,509,https://data.sdss.org/sas/dr14/sdss/spectro/redux/26/spectra/2393/spec-2393-54156-0509.fits
29,25688,1237657065256124561,4.923573584255754e+18,4373,55811,48,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4373/spec-4373-55811-0048.fits,2531607037415360896,2,2531607041711068416,2531607041711068416,1237657065256124562,4.901161134554325e+18,4353,55532,432,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/4353/spec-4353-55532-0432.fits
30,26916,1237663787414454614,6.69018970962314e+18,5942,56210,336,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/5942/spec-5942-56210-0336.fits,973376310967990272,2,973376306673081472,973376306673081472,1237663787414454614,4.120882257123582e+18,3660,55209,322,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3660/spec-3660-55209-0322.fits
31,27384,1237662683606024262,4.3381507035643e+18,3853,55268,212,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3853/spec-3853-55268-0212.fits,1459032658542428416,1,1459033345737195008,1459033345737195008,1237662683606024312,4.342736766630863e+18,3857,55272,512,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3857/spec-3857-55272-0512.fits
32,27385,1237662683606024312,4.338151253320114e+18,3853,55268,214,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3853/spec-3853-55268-0214.fits,1459033345737195008,2,1459032658542428416,1459032658542428416,1237662683606024262,4.3381507035643003e+18,3853,55268,212,https://data.sdss.org/sas/dr14/sdss/spectro/redux/v5_10_0/spectra/3853/spec-3853-55268-0212.fits
