element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,2,"=""3932.013""","=""0.002""","=""3932.0108""","=""0.0009""","=""0.08""","=""""",,"=""104916.552""","=""107459.780""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3932.4462""","=""0.0005""","=""3932.4476""","=""0.0022""","=""66""","=""""",,"=""167000.0317""","=""169542.9772""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L9097""",
Br,1,"=""3932.832""","=""0.023""","=""3932.83+""","=""0.22""","=""70""","=""""",,"=""88339.16""","=""90881.86""","=""4s2.4p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""4s2.4p4.(3P<2>).5g""","=""2[5]""","=""11/2""",,"=""""","=""L821""",
Hg,1,"=""3933""","=""10""","=""3933""","=""9""","=""7""","=""""",,"=""77241.51""","=""79784""","=""5d10.6s.5f""","=""1F*""","=""3""","=""5d10.6s.5g""","=""1G""","=""4""",,"=""""","=""L15228c86""",
Th,2,"=""3933.1543""","=""0.0009""","=""3933.1540""","=""0.0003""","=""17""","=""""",,"=""14275.57661""","=""16818.06540""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""9/2""","=""6d3""","=""2G""","=""7/2""",,"=""""","=""L9974""",
Xe,1,"=""3933.41""","=""0.40""","=""3932.957+""","=""0.022""","=""2*""","=""""",,"=""93403.966""","=""95946.582""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L1975""",
Xe,1,"=""3933.41""","=""0.40""","=""3934.020+""","=""0.022""","=""2*""","=""""",,"=""93362.671""","=""95904.600""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L1975""",
198Hg,1,"=""3933.54""","=""0.08""","=""3933.54""","=""0.08""","=""1000""","=""""",,"=""77241.6158""","=""79783.855""","=""5d10.6s.5f""","=""1F*""","=""3""","=""5d10.6s.5g""","=""1G""","=""4""",,"=""""","=""L7443""",
Cr,1,"=""3933.707""","=""0.012""","=""3933.7070""","=""0.0023""","=""5""","=""""",,"=""31355.1192""","=""33897.2506""","=""3d5.(4F).4s""","=""a 5F""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",,"=""""","=""L14866""",
Ne,1,"=""3934.1564""","=""0.0005""","=""3934.1556""","=""0.0022""","=""48""","=""""",,"=""167001.1327""","=""169542.9742""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L9097""",
C,1,"=""3935.2527""","=""0.0015""","=""3935.2528""","=""0.0012""","=""4900""","=""1.60e+06""",B,"=""83947.2231""","=""86488.3559""","=""2s2.2p.4d""","=""1F*""","=""3""","=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""T9787""","=""L12175c183""",
Ne,1,"=""3938.6615""","=""0.0017""","=""3938.6592""","=""0.0022""","=""3""","=""""",,"=""167000.0317""","=""169538.9668""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Kr,1,"=""3938.755""","=""0.010""","=""3938.71+""","=""0.22""","=""70*""","=""""",,"=""105988.81""","=""108527.71""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",,"=""""","=""L234""",
Kr,1,"=""3938.755""","=""0.010""","=""3938.71+""","=""0.22""","=""70*""","=""""",,"=""105988.81""","=""108527.71""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",,"=""""","=""L234""",
