element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,2,"=""3000.7743""","=""0.0006""","=""3000.77389""","=""0.00015""","=""9""","=""""",,"=""9238.02035""","=""12570.49403""","=""5f.6d.(1G*).7s""","=""*""","=""9/2""","=""6d3""","=""""","=""7/2""",,"=""""","=""L9974""",
Xe,1,"=""3003.01""","=""""","=""3003.01+""","=""0.09""","=""12:""","=""""",,"=""90804.538""","=""94134.53""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",,"=""""","=""L2228""",
Th,1,"=""3003.9121""","=""0.0006""","=""3003.91179""","=""0.00004""","=""9""","=""""",,"=""19948.395175""","=""23277.38774""","=""6d2.7s.7p""","=""5F*""","=""4""","=""5f.6d.7s.7p""","=""5I""","=""5""",,"=""""","=""L9974""",
Ti,1,"=""3003.919""","=""0.011""","=""3003.923""","=""0.005""","=""2""","=""""",,"=""31206.007""","=""34534.987""","=""3d2.(3P).4s.4p.(3P*)""","=""v 3D*""","=""3""","=""3d4""","=""3P2""","=""2""",,"=""""","=""L10989""",
Ar,2,"=""3004.2101""","=""0.0005""","=""3004.2108""","=""0.0003""","=""20""","=""""",,"=""199138.5106""","=""202467.1718""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Ne,2,"=""3004.438""","=""0.004""","=""3004.437""","=""0.004""","=""18""","=""""",,"=""314927.6979""","=""318256.108""","=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).7s""","=""4P""","=""5/2""",,"=""""","=""L11301""",
Ti,1,"=""3004.912""","=""0.011""","=""3004.912""","=""0.005""","=""3""","=""""",,"=""35123.425""","=""38451.309""","=""3d4""","=""3F2""","=""2""","=""3d3.(2G).4p""","=""t 3F*""","=""2""",,"=""""","=""L10989""",
Ar,2,"=""3004.940""","=""0.010""","=""3004.98""","=""0.04""","=""60""","=""""",,"=""211669.17""","=""214996.98""","=""3s2.3p4.(3P<1>).6f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<1>).7g""","=""2[4]""","=""7/2""",,"=""""","=""L11330""",
Fe,2,"=""3009.489""","=""0.003""","=""3009.4892""","=""0.0007""","=""0.09""","=""1.4e+03""",E,"=""104916.552""","=""108239.375""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Ti,1,"=""3010.467""","=""0.011""","=""3010.465""","=""0.005""","=""2""","=""""",,"=""38159.461""","=""41481.207""","=""3d2.(3P).4s.4p.(1P*)""","=""u 3D*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,"=""""","=""L10989""",
Th,1,"=""3010.7744""","=""0.0008""","=""3010.77357""","=""0.00011""","=""3""","=""""",,"=""26096.98491""","=""29418.39044""","=""""","=""*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L9974""",
Cr,1,"=""3011.001""","=""0.009""","=""3011.004""","=""0.009""","=""1""","=""""",,"=""46000.4213""","=""49321.573""","=""3d5.(4G).4p""","=""y 3F*""","=""3""","=""3d5.(6S).7s""","=""g 5S""","=""2""",,"=""""","=""L14866""",
Cr,2,"=""3011.0030""","=""0.0010""","=""3011.003""","=""0.003""","=""1""","=""""",,"=""107947.9960""","=""111269.149""","=""3d4.(5D).5d""","=""4F""","=""9/2""","=""3d4.(5D).6p""","=""4D*""","=""7/2""",,"=""""","=""L18847""",
Cs,1,"=""3011.148""","=""0.003""","=""3011.1515""","=""0.0009""","=""28000""","=""9.84e+05""",A+,"=""11178.26815870""","=""14499.2568""","=""5p6.6p""","=""2P*""","=""1/2""","=""5p6.5d""","=""2D""","=""3/2""",,"=""T7723n,T6899""","=""L5791""",
Fe,2,"=""3012.1567""","=""0.0008""","=""3012.1553""","=""0.0005""","=""0.34""","=""""",,"=""104507.058""","=""107826.940""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3012.7143""","=""0.0014""","=""3012.7141""","=""0.0010""","=""1""","=""7.08e+03""",C+,"=""163707.7261""","=""167026.9923""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Th,1,"=""3012.9899""","=""0.0010""","=""3012.98938""","=""0.00005""","=""1""","=""""",,"=""24202.56462""","=""27521.52753""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Ne,1,"=""3013.5096""","=""0.0007""","=""3013.5101""","=""0.0010""","=""2""","=""1.07e+04""",C+,"=""163708.6029""","=""167026.9923""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Ne,1,"=""3013.8002""","=""0.0008""","=""3013.8004""","=""0.0010""","=""1""","=""""",,"=""163657.2726""","=""166975.3424""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""""","=""L9097""",
Mg,1,"=""3015.05""","=""0.10""","=""3015.036""","=""0.010""","=""12""","=""7.04e+04""",B+,"=""54706.536""","=""58023.246""","=""3s.5p""","=""1P*""","=""1""","=""3s.6d""","=""1D""","=""2""",,"=""T5539""","=""L6692""",
Th,1,"=""3015.0756""","=""0.0010""","=""3015.07518""","=""0.00005""","=""1""","=""""",,"=""15493.21943""","=""18809.88631""","=""6d3.(2H).7s""","=""3H""","=""4""","=""6d2.7s.7p""","=""5G*""","=""4""",,"=""""","=""L9974""",
Th,1,"=""3015.3873""","=""0.0010""","=""3015.38663""","=""0.00005""","=""1""","=""""",,"=""23655.13881""","=""26971.46312""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,2,"=""3015.7537""","=""0.0010""","=""3015.7543""","=""0.0003""","=""1""","=""""",,"=""13248.70938""","=""16564.6294""","=""6d3""","=""4F""","=""9/2""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""11/2""",,"=""""","=""L9974""",
Th,2,"=""3016.1831""","=""0.0010""","=""3016.1819""","=""0.0003""","=""1""","=""""",,"=""16564.6294""","=""19880.07926""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""11/2""","=""6d3""","=""2G""","=""9/2""",,"=""""","=""L9974""",
C,1,"=""3017.122""","=""0.005""","=""3017.120""","=""0.005""","=""1200""","=""1.4e+05""",D,"=""80562.88550""","=""83877.305""","=""2s2.2p.4p""","=""1P""","=""1""","=""2s2.2p.5s""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L12175c183""",
Ne,1,"=""3017.3468""","=""0.0017""","=""3017.3473""","=""0.0013""","=""10""","=""""",,"=""167559.0633""","=""170873.2327""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L9097""",
Ar,2,"=""3018.6433""","=""0.0003""","=""3018.6433""","=""0.0003""","=""32""","=""""",,"=""200032.2867""","=""203345.0332""","=""3s2.3p4.(3P).6s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2D*""","=""3/2""",,"=""""","=""L11520""",
Ne,1,"=""3020.8732""","=""0.0004""","=""3020.8732""","=""0.0010""","=""620""","=""9.31e+05""",B+,"=""162517.8755""","=""165828.1766""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Ar,2,"=""3021.110""","=""0.002""","=""3021.1083""","=""0.0012""","=""7""","=""""",,"=""206103.4749""","=""209413.5184""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""2D""","=""3/2""",,"=""""","=""L11520""",
Fe,2,"=""3021.9442""","=""0.0009""","=""3021.9441""","=""0.0005""","=""0.3""","=""""",,"=""104189.382""","=""107498.510""","=""3d6.(3H).4d""","=""4F""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
V,1,"=""3022.3422""","=""0.0018""","=""3022.345""","=""0.003""","=""120""","=""1.1e+06""",C,"=""42480.002""","=""45788.691""","=""3d4.(5D).5p""","=""6D*""","=""5/2""","=""3d4.(5D).6s""","=""6D""","=""3/2""",,"=""u38""","=""L11697""",
Fe,2,"=""3023.3743""","=""0.0016""","=""3023.3731""","=""0.0005""","=""0.16""","=""""",,"=""105211.079""","=""108518.643""","=""3d6.(5D).5d""","=""4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3023.8491""","=""0.0011""","=""3023.8457""","=""0.0008""","=""0.26""","=""2.9e+05""",C+,"=""103869.046""","=""107176.093""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""3024.114""","=""0.003""","=""3024.1128""","=""0.0013""","=""427""","=""""",,"=""51827.413""","=""55134.168""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""2""","=""3d6.4s.(6D).6s""","=""5D""","=""2""",,"=""""","=""L11631""",
Th,1,"=""3024.4713""","=""0.0005""","=""3024.47082""","=""0.00007""","=""21""","=""""",,"=""18431.686609""","=""21738.05013""","=""5f.7s2.7p""","=""3G""","=""3""","=""5f.6d2.7s""","=""5G*""","=""2""",,"=""""","=""L9974""",
Fe,1,"=""3024.519""","=""0.003""","=""3024.5161""","=""0.0013""","=""510""","=""""",,"=""51827.854""","=""55134.168""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""1""","=""3d6.4s.(6D).6s""","=""5D""","=""2""",,"=""""","=""L11631""",
Be,1,"=""3025.814""","=""0.002""","=""3025.8138""","=""0.0020""","=""9""","=""""",,"=""56882.5474""","=""60187.4434""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""""","=""L483""",
Xe,1,"=""3026.14""","=""""","=""3026.138+""","=""0.013""","=""600:""","=""1.1e+06""",D+,"=""85440.017""","=""88744.559""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",,"=""T8608""","=""L2228""",
Fe,1,"=""3026.548""","=""0.007""","=""3026.550""","=""0.003""","=""182""","=""""",,"=""54224.420""","=""57528.512""","=""3d7.(4F).5p""","=""5F*""","=""1""","=""3d7.(4F).6s""","=""5F""","=""2""",,"=""""","=""L11631""",
Ne,1,"=""3026.7823""","=""0.0005""","=""3026.7826""","=""0.0010""","=""41""","=""9.01e+04""",C+,"=""163707.7261""","=""167011.5643""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Fe,2,"=""3026.922""","=""0.013""","=""3026.9248""","=""0.0009""","=""0.08""","=""""",,"=""106863.620""","=""110167.303""","=""3d6.(5D).6p""","=""4D*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3027.5862""","=""0.0004""","=""3027.5861""","=""0.0010""","=""17""","=""3.77e+04""",C+,"=""163708.6029""","=""167011.5643""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
Mg,1,"=""3027.719""","=""0.010""","=""3027.67""","=""0.10""","=""20""","=""6.77e+05""",B,"=""54706.536""","=""58009.41""","=""3s.5p""","=""1P*""","=""1""","=""3s.7s""","=""1S""","=""0""",,"=""T5539""","=""L6692""",
Mg,8,"=""3028.3""","=""1.0""","=""3028""","=""13""","=""""","=""3.23e-01""",A,"=""0""","=""3302""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",M1,"=""T7194c9,T7003,T5243""","=""L3459""",
Fe,2,"=""3028.487""","=""0.002""","=""3028.4859""","=""0.0005""","=""0.13""","=""2.6e+04""",C+,"=""103420.207""","=""106722.187""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""11/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""3029.349""","=""0.007""","=""3029.3447""","=""0.0006""","=""0.07bl(Ne)""","=""1.6e+03""",E,"=""104916.552""","=""108217.596""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
Ti,1,"=""3029.441""","=""0.011""","=""3029.439""","=""0.004""","=""7""","=""""",,"=""18287.554""","=""21588.495""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""4""",,"=""""","=""L10989""",
Ne,1,"=""3030.8501""","=""0.0007""","=""3030.8504""","=""0.0013""","=""44""","=""""",,"=""167559.0633""","=""170858.4673""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""",,"=""""","=""L9097""",
Sc,1,"=""3032.10""","=""0.03""","=""3032.079""","=""0.017""","=""2""","=""""",,"=""40562.044""","=""43860.111""","=""3d.4s.(3D).4d""","=""2G""","=""9/2""","=""3d2.(1G).4p""","=""2F*""","=""7/2""",,"=""""","=""L4189c12""",
Ti,1,"=""3032.411""","=""0.011""","=""3032.418""","=""0.006""","=""11""","=""""",,"=""21739.707""","=""25037.405""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""5""","=""3d3.(2F).4s""","=""3F""","=""4""",,"=""""","=""L10989""",
Ar,2,"=""3035.4468""","=""0.0003""","=""3035.4467""","=""0.0004""","=""66""","=""""",,"=""200623.7672""","=""203918.1752""","=""3s2.3p4.(3P).6s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""4S*""","=""3/2""",,"=""""","=""L11520""",
Th,1,"=""3036.3590""","=""0.0010""","=""3036.35796""","=""0.00019""","=""1""","=""""",,"=""22515.88404""","=""25809.30337""","=""6d4""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L9974""",
Th,1,"=""3036.7227""","=""0.0007""","=""3036.72203""","=""0.00006""","=""7""","=""""",,"=""24202.56462""","=""27495.58911""","=""""","=""*""","=""4""","=""5f2.7s2""","=""3H""","=""4""",,"=""""","=""L9974""",
I,1,"=""3037.021""","=""0.028""","=""3037.018""","=""0.007""","=""120""","=""""",,"=""67062.130""","=""70354.834""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""3/2""","=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""",,"=""""","=""L3674""",
Th,1,"=""3037.1242""","=""0.0012""","=""3037.12456""","=""0.00014""","=""0""","=""""",,"=""27495.58911""","=""30788.17715""","=""5f2.7s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L9974""",
Ne,1,"=""3037.1786""","=""0.0008""","=""3037.1783""","=""0.0010""","=""20""","=""3.04e+04""",C+,"=""163708.6029""","=""167001.1327""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""",,"=""T6976""","=""L9097""",
Th,1,"=""3037.3560""","=""0.0010""","=""3037.35649""","=""0.00012""","=""1""","=""""",,"=""27260.16801""","=""30552.50463""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,1,"=""3038.3868""","=""0.0007""","=""3038.38649""","=""0.00006""","=""5""","=""""",,"=""19986.16721""","=""23277.38774""","=""5f.6d2.7s""","=""5H*""","=""6""","=""5f.6d.7s.7p""","=""5I""","=""5""",,"=""""","=""L9974""",
Th,1,"=""3038.5386""","=""0.0010""","=""3038.5386""","=""0.0004""","=""1""","=""""",,"=""25806.5369""","=""29097.59262""","=""""","=""*""","=""1 or 2""","=""""","=""""","=""1""",,"=""""","=""L9974""",
Br,1,"=""3038.914""","=""""","=""3038.91+""","=""0.13""","=""500:""","=""""",,"=""82236.17""","=""85526.82""","=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""5/2""",,"=""""","=""L1505""",
I,1,"=""3039.2171""","=""0.0018""","=""3039.218""","=""0.007""","=""180""","=""""",,"=""71903.736""","=""75194.056""","=""5s2.5p4.(3P<2>).7s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""7/2""",,"=""""","=""L3674""",
Fe,1,"=""3039.902""","=""0.003""","=""3039.9027""","=""0.0013""","=""1910""","=""""",,"=""44677.006""","=""47966.585""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""",,"=""""","=""L11631""",
Ar,2,"=""3041.725""","=""0.002""","=""3041.7245""","=""0.0015""","=""7""","=""""",,"=""205194.0978""","=""208481.7065""","=""3s2.3p4.(3P<2>).5f""","=""2[1]*""","=""3/2""","=""3s2.3p4.(3P).6d""","=""4P""","=""1/2""",,"=""""","=""L11520""",
Ne,1,"=""3042.5647""","=""0.0006""","=""3042.5658""","=""0.0015""","=""15""","=""""",,"=""168355.4583""","=""171642.1580""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L9097""",
Th,1,"=""3042.7708""","=""0.0007""","=""3042.77108""","=""0.00009""","=""7""","=""""",,"=""27266.02670""","=""30552.50463""","=""""","=""*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Xe,1,"=""3043.19""","=""""","=""3043.185+""","=""0.013""","=""60:""","=""""",,"=""88842.256""","=""92128.287""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L2228""",
Th,1,"=""3043.9883""","=""0.0008""","=""3043.98802""","=""0.00013""","=""3""","=""""",,"=""24032.22651""","=""27317.39056""","=""5f.6d.7s.7p""","=""5G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
Ar,2,"=""3046.8625""","=""0.0003""","=""3046.8625""","=""0.0004""","=""68""","=""""",,"=""199138.5106""","=""202420.5754""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""1/2""",,"=""""","=""L11520""",
Ne,1,"=""3047.2757""","=""0.0010""","=""3047.2765""","=""0.0013""","=""9""","=""""",,"=""167591.2335""","=""170872.8524""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L9097""",
Ne,1,"=""3047.5223""","=""0.0006""","=""3047.5225""","=""0.0013""","=""12""","=""""",,"=""168358.6202""","=""171639.9741""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Ba,1,"=""3047.555""","=""0.010""","=""3047.556+""","=""0.013""","=""11""","=""""",,"=""21250.195""","=""24531.513""","=""5d2""","=""3F""","=""3""","=""5d.6p""","=""3D*""","=""2""",,"=""""","=""L9224""",
Fe,2,"=""3047.619""","=""0.002""","=""3047.6172""","=""0.0005""","=""0.28""","=""""",,"=""103936.602""","=""107217.854""","=""3d6.(5D).5d""","=""6F""","=""11/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Xe,1,"=""3048.37""","=""""","=""3048.375+""","=""0.013""","=""1500:""","=""3.76e+06""",B,"=""85188.777""","=""88469.213""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""",,"=""T8608""","=""L2228""",
Fe,1,"=""3048.856""","=""0.003""","=""3048.856""","=""0.003""","=""200""","=""""",,"=""52110.601""","=""55390.520""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""1""","=""3d6.4s.(6D).6s""","=""5D""","=""0""",,"=""""","=""L11631""",
Cs,2,"=""3049.5479""","=""0.0006""","=""3049.5479""","=""0.0011""","=""890""","=""""",,"=""152845.2775""","=""156124.4521""","=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",,"=""""","=""L12126""",
Kr,1,"=""3050.0""","=""1.0""","=""3050.080+""","=""0.013""","=""""","=""""",,"=""105208.476""","=""108487.079""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""""","=""L4227""",
Mg,2,"=""3050.775""","=""0.010""","=""3050.77""","=""0.10""","=""18""","=""6.05e+06""",A,"=""105622.34""","=""108900.20""","=""2p6.6p""","=""2P*""","=""1/2""","=""2p6.6d""","=""2D""","=""3/2""",,"=""c31""","=""L6692""",
Xe,1,"=""3051.24""","=""""","=""3051.245+""","=""0.013""","=""100:""","=""""",,"=""88469.213""","=""91746.564""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""""","=""L2228""",
Fe,1,"=""3054.873""","=""0.003""","=""3054.8725""","=""0.0013""","=""560""","=""""",,"=""33412.717""","=""36686.176""","=""3d8""","=""c 3F""","=""3""","=""3d7.(4F).4p""","=""y 3F*""","=""4""",,"=""""","=""L11631""",
V,1,"=""3056.5979""","=""0.0019""","=""3056.6028""","=""0.0017""","=""88""","=""5.6e+05""",C,"=""42587.041""","=""45858.647""","=""3d4.(5D).5p""","=""6D*""","=""7/2""","=""3d4.(5D).6s""","=""6D""","=""5/2""",,"=""u38""","=""L11697""",
Ar,2,"=""3057.337""","=""0.003""","=""3057.336""","=""0.004""","=""17""","=""""",,"=""210607.6278""","=""213878.449""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""11/2""","=""3s2.3p4.(3P<2>).7h""","=""2[6]*""","=""13/2""",,"=""""","=""L11520""",
Ar,2,"=""3057.468""","=""0.005""","=""3057.467""","=""0.006""","=""17""","=""""",,"=""210607.7571""","=""213878.438""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""9/2""","=""3s2.3p4.(3P<2>).7h""","=""2[6]*""","=""11/2""",,"=""""","=""L11520""",
Th,1,"=""3057.5193""","=""0.0007""","=""3057.51959""","=""0.00014""","=""13""","=""""",,"=""24701.04375""","=""27971.66875""","=""""","=""*""","=""5""","=""6d4""","=""3H""","=""6""",,"=""""","=""L9974""",
Mg,2,"=""3057.656""","=""0.010""","=""3057.66""","=""0.10""","=""3""","=""1.21e+06""",A,"=""105629.72""","=""108900.20""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.6d""","=""2D""","=""3/2""",,"=""c31""","=""L6692""",
Mg,2,"=""3057.827""","=""0.010""","=""3057.82""","=""0.10""","=""30""","=""7.24e+06""",A,"=""105629.72""","=""108900.02""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.6d""","=""2D""","=""5/2""",,"=""c31""","=""L6692""",
Th,1,"=""3058.7160""","=""0.0007""","=""3058.71592""","=""0.00013""","=""7""","=""""",,"=""28932.65158""","=""32201.99736""","=""""","=""*""","=""4""","=""""","=""""","=""5""",,"=""""","=""L9974""",
Ar,2,"=""3059.253""","=""0.002""","=""3059.2536""","=""0.0020""","=""26*""","=""""",,"=""210609.4258""","=""213878.197""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""7/2""","=""3s2.3p4.(3P<2>).7h""","=""2[5]*""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""3059.253""","=""0.002""","=""3059.254""","=""0.005""","=""26*""","=""""",,"=""210609.378""","=""213878.149""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""9/2""","=""3s2.3p4.(3P<2>).7h""","=""2[5]*""","=""11/2""",,"=""""","=""L11520""",
Ti,1,"=""3059.360""","=""0.011""","=""3059.365""","=""0.008""","=""3""","=""""",,"=""35400.235""","=""38668.887""","=""3d4""","=""3H""","=""5""","=""3d3.(2H).4p""","=""z 3I*""","=""6""",,"=""""","=""L10989""",
Ne,1,"=""3060.3119""","=""0.0007""","=""3060.3132""","=""0.0015""","=""28""","=""""",,"=""167591.2335""","=""170858.8729""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L9097""",
Ne,1,"=""3060.3346""","=""0.0004""","=""3060.3348""","=""0.0010""","=""52""","=""2.61e+05""",B,"=""163707.7261""","=""166975.3424""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
Fe,2,"=""3060.3490""","=""0.0005""","=""3060.3595""","=""0.0011""","=""1.5bl(Ne)""","=""9.e+02""",E,"=""103364.897""","=""106632.487""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""3060.6781""","=""0.0016""","=""3060.6761""","=""0.0006""","=""0.25""","=""""",,"=""103950.602""","=""107217.854""","=""3d6.(5D).5d""","=""6F""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Th,1,"=""3060.9168""","=""0.0007""","=""3060.91746""","=""0.00009""","=""5""","=""""",,"=""23113.54761""","=""26380.54194""","=""5f.6d2.7s""","=""5G*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""5""",,"=""""","=""L9974""",
Ar,2,"=""3061.468""","=""0.006""","=""3061.468""","=""0.007""","=""10""","=""""",,"=""211725.660""","=""214992.067""","=""3s2.3p4.(3P<1>).6g""","=""2[3]""","=""5/2""","=""3s2.3p4.(3P<1>).7h""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""3061.568""","=""0.004""","=""3061.567""","=""0.005""","=""14""","=""""",,"=""211725.7661""","=""214992.067""","=""3s2.3p4.(3P<1>).6g""","=""2[3]""","=""7/2""","=""3s2.3p4.(3P<1>).7h""","=""2[4]*""","=""9/2""",,"=""""","=""L11520""",
